price,mileage,engineSize,transmission,fuelType,link,imageLink
2849,56150,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202210090555788?advertising-location=at_cars&year-to=2006&make=Ford&radius=1500&include-delivery-option=on&model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=tq122pu&year-from=2006&exclude-writeoff-categories=on&sort=relevance&page=5,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/c3db7f3aacea42eb849de489168e4350.jpg
2699,50000,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212302843995?advertising-location=at_cars&year-to=2006&make=Ford&radius=1500&include-delivery-option=on&model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=tq122pu&year-from=2006&exclude-writeoff-categories=on&sort=relevance&page=5,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/3981b4b7b7f546b5ac0c0a0d6760d03e.jpg
3500,57600,1.6L,Automatic,Petrol,https://www.autotrader.co.uk/car-details/202206086599591?advertising-location=at_cars&year-to=2006&make=Ford&radius=1500&include-delivery-option=on&model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=tq122pu&year-from=2006&exclude-writeoff-categories=on&sort=relevance&page=5,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/21d3ee3f7a1d4a119cd7fb31f395dc1f.jpg
4990,31922,1.6L,Automatic,Petrol,https://www.autotrader.co.uk/car-details/202212122455063?advertising-location=at_cars&year-to=2006&make=Ford&radius=1500&include-delivery-option=on&model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=tq122pu&year-from=2006&exclude-writeoff-categories=on&sort=relevance&page=5,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/b0742f5260b8480792d630c39cb59fd6.jpg
1599,82169,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212202672840?advertising-location=at_cars&year-to=2006&make=Ford&radius=1500&include-delivery-option=on&model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=tq122pu&year-from=2006&exclude-writeoff-categories=on&sort=relevance&page=5,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/a948a411b3ab4111a549876d2957e9a0.jpg
2490,68041,1.4L,Manual,Diesel,https://www.autotrader.co.uk/car-details/202211201846654?advertising-location=at_cars&year-to=2006&make=Ford&radius=1500&include-delivery-option=on&model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=tq122pu&year-from=2006&exclude-writeoff-categories=on&sort=relevance&page=5,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/da4bf9521fc244da90a8d2d3b4069b29.jpg
1799,97000,1.4L,Manual,Diesel,https://www.autotrader.co.uk/car-details/202212292816616?advertising-location=at_cars&year-to=2006&make=Ford&radius=1500&include-delivery-option=on&model=Fiesta&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&postcode=tq122pu&year-from=2006&exclude-writeoff-categories=on&sort=relevance&page=5&journey=PROMOTED_LISTING_JOURNEY,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/1c8c5dbd615d426bad5c84fcdfcc5ce9.jpg
2195,71380,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212122476660?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2006&sort=relevance&page=6,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/3d12096d01b547cdbe415baaed76f63b.jpg
3295,45000,1.6L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212012174779?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2006&sort=relevance&page=6,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/7ae7e6c91b2c419f9c3ecfbc46cb1625.jpg
2495,54930,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212122476589?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2006&sort=relevance&page=6,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/6da29c85787247f78d0a9c1debcf934b.jpg
2495,76000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212162563858?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2006&sort=relevance&page=6&percentVehiclePriceDeposit=true,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/684b20f6024e4c9eb3d49c4c98e055cc.jpg
2295,88213,1.4L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212202657754?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2006&sort=relevance&page=6,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/1e27fb449e4c4d8ea71073cd1c7bf5ff.jpg
2500,56000,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202212062332500?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2006&sort=relevance&page=6,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/ad01a0c87f55403e80357502c6fc8a93.jpg
1995,72500,1.25L,Manual,Petrol,https://www.autotrader.co.uk/car-details/202211161738752?exclude-writeoff-categories=on&include-delivery-option=on&onesearchad=New&onesearchad=Nearly%20New&onesearchad=Used&year-from=2006&make=Ford&radius=1500&advertising-location=at_cars&model=Fiesta&postcode=tq122pu&year-to=2006&sort=relevance&page=6,https://m.atcdn.co.uk/a/media/w340h255pf7f7f5/05cf74eb76b542e893f59a590f280ace.jpg
